,1,2,3,4,5,6,7,8,9,10
2DDA7Ptm,-0.079291,-0.072215,0.0,0.0,0.0,0.0,-0.03477,-0.026313,-0.017855,-0.009397
PC,1.500926,1.366989,1.713323,3.798048,5.882773,7.967498,9.485377,9.989695,10.494013,10.998331
ACONT,10.196379,8.017585,6.038695,4.462099,2.885503,1.308907,0.309567,0.234267,0.158967,0.083667
ICDHym,5.190698,5.860611,6.038695,4.462099,2.885503,1.308907,0.274797,0.207954,0.141112,0.074269
ASPTA,-1.562142,-1.422742,-1.780484,-1.575895,-1.371305,-1.166716,-0.917007,-0.693952,-0.470896,-0.24784
ASPTAm,0.0,0.0,0.499014,0.441674,0.384334,0.326994,0.231983,0.175555,0.119127,0.062698
ASPt2m,0.0,0.0,0.499014,0.441674,0.384334,0.326994,0.231983,0.175555,0.119127,0.062698
ACACT1,-3.864645,-4.652891,-5.437751,-6.211805,-6.985859,-7.759912,-8.520499,-9.259517,-9.998535,-10.737553
ACCOACr,9.079815,11.102346,13.117112,15.107087,17.097062,19.087037,21.04612,22.955723,24.865326,26.774929
CITtbm,-0.079291,-0.072215,0.0,0.0,0.0,0.0,-0.03477,-0.026313,-0.017855,-0.009397
CITtcm,-5.190698,-5.860611,-6.038695,-4.462099,-2.885503,-1.308907,-0.274797,-0.207954,-0.141112,-0.074269
DHFRi,0.0,0.0,0.004785,0.004235,0.003685,0.003135,0.0,0.0,0.0,0.0
FTHFL,0.0,0.0,0.12858,0.113805,0.09903,0.084256,0.068734,0.052015,0.035296,0.018577
DDPAm,0.079291,0.072215,-0.0,-0.0,-0.0,-0.0,0.03477,0.026313,0.017855,0.009397
GLNS,2.928459,2.667134,2.402299,2.126259,1.850219,1.574179,3.952285,10.684476,17.416668,24.148859
DHORD,-0.520141,-1.040282,-1.560422,-2.080563,-2.600704,-3.120845,-3.640985,-4.161126,-4.681267,-5.201408
ENO,27.486015,27.163694,27.024296,27.232977,27.441658,27.650339,28.368718,29.902935,31.437151,32.971367
GAPD,29.12063,28.652443,28.300928,28.362916,28.424903,28.486891,29.051156,30.419374,31.787592,33.15581
E4Ptm,0.079291,0.072215,-0.0,-0.0,-0.0,-0.0,0.03477,0.026313,0.017855,0.009397
FAS100,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
FAS120,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
PGK,-29.12063,-28.652443,-28.300928,-28.362916,-28.424903,-28.486891,-29.051156,-30.419374,-31.787592,-33.15581
PGM,-27.486015,-27.163694,-27.024296,-27.232977,-27.441658,-27.650339,-28.368718,-29.902935,-31.437151,-32.971367
PYK,27.327434,27.019264,26.894207,27.117836,27.341466,27.565095,28.299178,29.85031,31.401441,32.952572
TPI,12.528639,11.756333,11.096615,10.83736,10.578105,10.318849,10.545622,11.550321,12.55502,13.559719
FAS80_L,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
FBA3,3.738096,4.843545,5.84088,6.452038,7.063195,7.674353,7.817282,7.210796,6.604309,5.997822
FDH,0.156742,0.142755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G6PDH2,11.645547,14.923409,17.876414,19.669235,21.462057,23.254878,23.64096,21.7755,19.910039,18.044579
MDH,35.554517,29.708155,23.910441,17.632133,11.353826,5.075518,1.070325,0.809975,0.549626,0.289277
MDHm,-25.296921,-21.634816,-18.303598,-15.833861,-13.364124,-10.894387,-9.561111,-10.047007,-10.532903,-11.018799
GHMT2rm,1.184545,1.07884,0.907426,0.803157,0.698888,0.594618,0.485075,0.367084,0.249092,0.131101
NADH2_u6cm,81.391052,77.55073,73.667188,69.881558,66.095927,62.310297,58.570728,54.905453,51.240178,47.574902
GND,11.946626,15.197621,18.123398,19.887839,21.652281,23.416722,23.772988,21.875413,19.977838,18.080262
PGL,11.946626,15.197621,18.123398,19.887839,21.652281,23.416722,23.772988,21.875413,19.977838,18.080262
GLUSx,0.0,0.0,0.0,0.0,0.0,0.0,2.668109,9.712668,16.757226,23.801784
GLYt2m,0.828585,0.754645,0.679712,0.601609,0.523505,0.445402,0.363348,0.274966,0.186584,0.098202
RPE,7.396902,9.614876,11.616716,12.846505,14.076294,15.306083,15.599795,14.395279,13.190763,11.986248
RPI,-4.549724,-5.582746,-6.506681,-7.041334,-7.575986,-8.110639,-8.173194,-7.480134,-6.787074,-6.094015
TKT2,3.658806,4.77133,5.775836,6.394467,7.013099,7.63173,7.782512,7.184483,6.586454,5.988425
HCO3E,15.789558,18.346449,21.37085,26.0929,30.81495,35.537001,39.641437,42.650998,45.660559,48.670121
HMGCOAS,3.864645,4.652891,5.437751,6.211805,6.985859,7.759912,8.520499,9.259517,9.998535,10.737553
DHORD4,0.845089,1.336232,1.826987,2.316497,2.806008,3.295519,3.78348,4.26896,4.75444,5.23992
MALtm,-39.713749,-31.094214,-23.281119,-17.075124,-10.86913,-4.663136,-0.733913,-0.555394,-0.376874,-0.198355
ME2m,0.0,0.0,0.48207,2.708274,4.934478,7.160682,8.827197,9.491613,10.156029,10.820444
MLTHFtm,-1.540504,-1.403035,-1.13514,-1.004705,-0.87427,-0.743835,-0.606802,-0.459201,-0.311601,-0.164
OAAt2m,35.4933,29.652401,23.843279,19.854286,15.865293,11.8763,9.638694,10.105719,10.572743,11.039768
PFK_3,3.738096,4.843545,5.84088,6.452038,7.063195,7.674353,7.817282,7.210796,6.604309,5.997822
3C3HMPtm,-4.932055,-5.625049,-6.313378,-6.986817,-7.660255,-8.333693,-8.988575,-9.613737,-10.238898,-10.86406
SERt2m,1.184545,1.07884,0.907426,0.803157,0.698888,0.594618,0.485075,0.367084,0.249092,0.131101
THFtm,1.534671,1.397723,1.13514,1.004705,0.87427,0.743835,0.604244,0.457266,0.310287,0.163309
ACLSm,5.046987,5.729725,6.407661,7.070265,7.73287,8.395474,9.038975,9.651877,10.264779,10.877681
DHAD1m,5.046987,5.729725,6.407661,7.070265,7.73287,8.395474,9.038975,9.651877,10.264779,10.877681
TKT1,3.738096,4.843545,5.84088,6.452038,7.063195,7.674353,7.817282,7.210796,6.604309,5.997822
IPMD,4.932055,5.625049,6.313378,6.986817,7.660255,8.333693,8.988575,9.613737,10.238898,10.86406
IPPMIa,-4.932055,-5.625049,-6.313378,-6.986817,-7.660255,-8.333693,-8.988575,-9.613737,-10.238898,-10.86406
IPPMIb,-4.932055,-5.625049,-6.313378,-6.986817,-7.660255,-8.333693,-8.988575,-9.613737,-10.238898,-10.86406
IPPSm,4.932055,5.625049,6.313378,6.986817,7.660255,8.333693,8.988575,9.613737,10.238898,10.86406
KARA1im,5.046987,5.729725,6.407661,7.070265,7.73287,8.395474,9.038975,9.651877,10.264779,10.877681
OMCDC,4.932055,5.625049,6.313378,6.986817,7.660255,8.333693,8.988575,9.613737,10.238898,10.86406
ALDDHDD,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
DDCAFAO,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
C12DCte,0.520141,1.040282,1.560422,2.080563,2.600704,3.120845,3.640985,4.161126,4.681267,5.201408
LEUDH,4.805095,5.509418,6.209229,6.894635,7.580041,8.265446,8.932901,9.571605,10.210309,10.849013
MBCOAi,4.805095,5.509418,6.209229,6.894635,7.580041,8.265446,8.932901,9.571605,10.210309,10.849013
MCCC,4.805095,5.509418,6.209229,6.894635,7.580041,8.265446,8.932901,9.571605,10.210309,10.849013
MGCH,4.805095,5.509418,6.209229,6.894635,7.580041,8.265446,8.932901,9.571605,10.210309,10.849013
DDCAH,0.52014078,1.04028156,1.5604223400000001,2.08056312,2.6007039,3.1208446800000003,3.6409854600000005,4.16112624,4.68126702,5.2014078
